"Drug","High_Mean","Low_Mean","Diff","P_value","FDR"
"AZD8055_1059",0.0893347188521391,-0.126091222629798,0.215425941481937,4.2175597956516e-12,2.48836027943444e-10
"MK-1775_1179",0.237900659451996,0.770859726119174,-0.532959066667178,1.89009702537874e-10,5.57578622486728e-09
"Docetaxel_1007",-4.6858610087386,-4.17888493223133,-0.506976076507265,9.01469045714636e-10,1.49773312827765e-08
"Paclitaxel_1080",-3.12229690582514,-2.4792724306061,-0.643024475219039,1.22031196736578e-09,1.49773312827765e-08
"AZD6482_2169",3.58240823347025,3.08611499303313,0.496293240437121,1.26926536294716e-09,1.49773312827765e-08
"BMS-754807_2171",0.80546665318129,0.291467149506383,0.513999503674908,3.52709717244636e-07,3.46831221957225e-06
"AZD6738_1917",1.91502879083488,2.31412407835377,-0.399095287518889,6.45329434772609e-07,5.43920523594056e-06
"AZD2014_1441",2.46310599861321,2.27673042511761,0.186375573495599,9.72221860893018e-07,7.17013622408601e-06
"AZD7762_1022",-0.144876007986987,0.261378275093855,-0.406254283080841,1.42530361439222e-06,9.34365702768232e-06
"AZD4547_1786",2.7221825025047,2.91666550591243,-0.194483003407725,2.16615116467198e-06,1.27802918715647e-05
"BMS-536924_1091",2.01506121692589,2.22607092697611,-0.21100971005022,4.95124254872074e-06,2.65566645795022e-05
"BPD-00008900_1998",4.42867728256605,4.60351004475451,-0.17483276218846,9.41982234515789e-06,4.63141265303596e-05
"Docetaxel_1819",-2.25081379840301,-1.71636194791181,-0.534451850491201,2.68529730532397e-05,0.000121871185395472
"Cisplatin_1005",3.17785411487036,3.54536880095,-0.367514686079642,3.84542274581138e-05,0.000162057101430622
"GSK269962A_1192",3.05391174192352,2.89433871773743,0.159573024186097,6.71611393757347e-05,0.000264167148211223
"Olaparib_1017",4.26677074792039,4.45406599707832,-0.187295249157931,0.000256392220045912,0.0009454463114193
"Trametinib_1372",0.259688517046886,0.661050589238877,-0.401362072191991,0.000544184926027325,0.00188864180209483
"AZD3759_1915",2.81969833434382,2.7264777288441,0.0932206054997207,0.00190583180285994,0.00599286574576874
"Vincristine_1818",-1.70393231273501,-1.37161628963115,-0.332316023103866,0.0019331203290796,0.00599286574576874
"MK-2206_1053",3.30636828426203,3.12185210666019,0.184516177601845,0.00203147991381991,0.00599286574576874
"Nutlin-3a (-)_1047",5.34970829717074,4.9859549915352,0.363753305635544,0.00238788620620353,0.00670882315076229
"Bortezomib_1191",-4.87530881242544,-4.74066236241249,-0.13464645001295,0.00256000335971626,0.00686546355560271
"Ibrutinib_1799",4.33745903853826,4.48843651294943,-0.150977474411168,0.0031681685421502,0.00794906726551478
"AZD8186_1918",3.54726415370979,3.40471379816968,0.142550355540111,0.00323351888766703,0.00794906726551478
"Lapatinib_1558",2.9853600224128,3.15584717184535,-0.170487149432546,0.00629300340903959,0.0148514880453334
